Jugador,Champions (x5),Premier,La Liga,Serie A,Bundesliga,Ligue 1,Eredivisie,Selección (x4),Sudamérica (x3),Carrera,Carrera (x2),Goles de falta (x10),Mundiales (x40),Mundiales (x80),Final Champions (x250),Final Mundial (x600)
ROBERTO BAGGIO,0,0,0,205,0,0,0,0,0,304,304,0,9,9,0,0
ROBERTO CARLOS,16,0,47,0,0,0,0,0,0,130,130,46,1,1,0,0
ROBIN VAN PERSIE,0,144,0,0,0,0,0,50,0,324,324,0,6,6,0,0
ROBINHO,0,0,0,25,0,0,0,28,131,0,0,0,2,2,0,0
RODRI,0,22,0,0,0,0,0,4,0,0,0,0,0,0,1,0
RODRYGO GOES,25,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
ROMARIO,0,0,0,0,0,0,0,0,531,772,772,0,0,0,0,0
ROMELU LUKAKU,0,0,0,0,0,0,0,89,0,410,410,0,5,5,0,0
RONALDINHO,18,0,0,0,0,0,0,0,113,293,293,66,0,0,0,0
RONALDO NAZARIO,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,2
ROY KEANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUUD GULLIT,0,0,0,0,0,0,94,16,0,0,0,0,0,0,2,0
SADIO MANE,0,112,0,0,7,0,0,46,0,281,281,0,1,1,0,0
SAMUEL ETOO,0,0,162,0,0,0,0,0,0,426,426,0,0,0,2,0
SERGIO BUSQUETS,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SERGIO RAMOS,0,0,76,0,0,0,0,23,0,0,0,0,0,0,2,0
SHEVCHENKO,48,0,0,127,0,0,0,48,0,390,390,0,2,2,0,0
STEVEN GERRARD,21,121,0,0,0,0,0,21,0,214,214,12,0,0,1,0
THIAGO SILVA,0,8,0,0,0,9,0,0,0,0,0,0,2,2,0,0
THIERRY HENRY,50,176,0,0,0,0,0,0,0,411,411,0,6,6,0,0
THOMAS MULLER,57,0,0,0,150,0,0,0,0,337,337,0,10,10,1,0
TIMO WERNER,17,12,0,0,102,0,0,24,0,235,235,1,0,0,0,0
TONI KROOS,11,0,22,0,23,0,0,17,0,0,0,5,3,3,0,0
VAN BASTEN,0,0,0,90,0,0,128,0,0,307,307,3,0,0,2,0
VAN NISTELROOY,56,0,50,0,0,0,0,0,0,384,384,0,0,0,0,0
VINICIUS JR,29,0,0,0,0,0,0,0,14,0,0,0,1,1,2,0
VIRGIL VAN DIJK,3,23,0,0,0,0,5,9,0,64,64,0,0,0,0,0
WAYNE ROONEY,30,208,0,0,0,0,0,52,0,365,365,0,0,0,0,0
WESLEY SNEIJDER,0,0,0,0,0,0,0,0,0,186,186,32,6,6,0,0
XABI ALONSO,0,0,0,0,5,0,0,16,0,0,0,10,0,0,1,0
XAVI HERNANDEZ,0,0,58,0,0,0,0,12,0,138,138,20,0,0,0,0
YAYA TOURE,8,59,4,0,0,0,0,18,0,0,0,12,1,1,0,0
ZIDANE,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3
ZLATAN IBRAHIMOVIC,0,0,0,156,0,0,0,62,0,558,558,0,0,0,0,0
